Date,Open,High,Low,Close,Volume
2018-10-02,352,358,352,352,12983
2018-10-03,353,354,347,353,28516
2018-10-04,347,350,345,347,15025
2018-10-07,348,348,344,348,10164
2018-10-08,344,357,344,344,9581
2018-10-09,349,350,347,349,9551
2018-10-10,347,348,345,347,6502
2018-10-11,347,352,346,347,10534
2018-10-14,350,358,350,350,12769
2018-10-15,357,364,354,357,11617
2018-10-21,354,361,355,354,3483
2018-10-22,355,355,352,355,3196
2018-10-23,355,358,354,355,6474
2018-10-24,358,358,353,358,3065
2018-10-25,358,358,355,358,5436
2018-10-28,357,355,350,357,11851
2018-10-29,353,351,348,353,8152
2018-10-30,350,354,348,350,11760
2018-10-31,352,355,350,352,9391
2018-11-01,352,352,350,352,6758
2018-11-04,352,353,348,352,15056
2018-11-05,348,352,348,348,10438
2018-11-06,349,354,348,349,1030
2018-11-11,354,356,352,354,3083
2018-11-12,352,352,347,352,1885
2018-11-13,348,351,348,348,3940
2018-11-14,349,352,349,349,1763
2018-11-15,350,351,348,350,5701
2018-11-18,349,349,343,349,6006
2018-11-19,345,347,344,345,5455
2018-11-20,346,349,342,346,2001
2018-11-22,343,345,340,343,6445
2018-11-25,344,345,341,344,8678
2018-11-27,339,346,338,339,5914
2018-11-28,340,340,339,340,2677
2018-12-02,338,338,329,338,9756
2018-12-03,333,335,329,333,9202
2018-12-04,330,335,326,330,2973
2018-12-05,334,340,326,334,21447
2018-12-06,329,331,320,329,8394
2018-12-09,327,335,327,327,2982
2018-12-10,335,340,330,335,5830
2018-12-11,335,339,333,335,3705
2018-12-12,336,341,336,336,990
2018-12-16,338,344,338,338,18570
2018-12-17,344,355,340,344,5225
2018-12-18,355,355,343,355,10127
2018-12-19,344,345,342,344,3717
2018-12-20,343,351,343,343,14032
2018-12-23,349,362,349,349,16974
2018-12-24,357,362,352,357,14350
2018-12-25,357,357,351,357,8383
2018-12-26,353,362,352,353,22157
2018-12-27,362,365,358,362,36773
2018-12-30,359,359,351,359,11317
2018-12-31,351,352,347,351,16215
2019-01-01,348,350,344,348,22211
